Product Category,Price(Dollar),Number of  reviews,Order Date,Order Week,Order Month,Order Year,Total Sales
Audio Video ,55,114,2019-08-15,3,8,2019,6270
Audio Video ,160,320,2019-08-15,3,8,2019,51200
Audio Video ,47,484,2019-08-15,3,8,2019,22748
Audio Video ,11,486,2019-08-15,3,8,2019,5346
Audio Video ,46,1051,2019-08-15,3,8,2019,48346
Audio Video ,42,1,2019-08-15,3,8,2019,42
Audio Video ,138,51,2019-08-15,3,8,2019,7038
Audio Video ,36,54,2019-08-15,3,8,2019,1944
Audio Video ,12,21,2019-08-16,4,8,2019,252
Audio Video ,52,182,2019-08-17,5,8,2019,9464
Audio Video ,41,97,2019-08-17,5,8,2019,3977
Audio Video ,76,186,2019-08-17,5,8,2019,14136
Audio Video ,29,341,2019-08-17,5,8,2019,9889
Audio Video ,40,52,2019-08-17,5,8,2019,2080
Audio Video ,12,39,2019-08-19,0,8,2019,468
Audio Video ,12,683,2019-08-19,0,8,2019,8196
Audio Video ,8,341,2019-08-19,0,8,2019,2728
Audio Video ,7,470,2019-08-19,0,8,2019,3290
Audio Video ,8,188,2019-08-19,0,8,2019,1504
Audio Video ,78,38,2019-08-19,0,8,2019,2964
Audio Video ,35,5,2019-08-19,0,8,2019,175
Audio Video ,450,2,2019-08-19,0,8,2019,900
Audio Video ,5,270,2019-08-19,0,8,2019,1350
Audio Video ,168,199,2019-08-20,1,8,2019,33432
Audio Video ,63,72,2019-08-20,1,8,2019,4536
Audio Video ,3,216,2019-08-20,1,8,2019,648
Audio Video ,20,373,2019-08-20,1,8,2019,7460
Audio Video ,24,30,2019-08-22,3,8,2019,720
Audio Video ,7,156,2019-08-22,3,8,2019,1092
Audio Video ,33,957,2019-08-22,3,8,2019,31581
Audio Video ,49,50,2019-08-23,4,8,2019,2450
Audio Video ,44,1,2019-08-23,4,8,2019,44
Audio Video ,22,161,2019-08-23,4,8,2019,3542
Audio Video ,8,50,2019-08-23,4,8,2019,400
Audio Video ,19,133,2019-08-23,4,8,2019,2527
Audio Video ,269,109,2019-08-23,4,8,2019,29321
Audio Video ,29,18,2019-08-23,4,8,2019,522
Audio Video ,44,173,2019-08-23,4,8,2019,7612
Audio Video ,8,21,2019-08-23,4,8,2019,168
Audio Video ,17,22,2019-08-23,4,8,2019,374
Audio Video ,52,33,2019-08-24,5,8,2019,1716
Audio Video ,28,2,2019-08-24,5,8,2019,56
Audio Video ,37,166,2019-08-24,5,8,2019,6142
Audio Video ,239,11,2019-08-24,5,8,2019,2629
Audio Video ,11,82,2019-08-25,6,8,2019,902
Audio Video ,15,423,2019-08-25,6,8,2019,6345
Audio Video ,49,4,2019-08-25,6,8,2019,196
Audio Video ,18,37,2019-08-25,6,8,2019,666
Audio Video ,54,2205,2019-08-25,6,8,2019,119070
Audio Video ,93,711,2019-08-25,6,8,2019,66123
Audio Video ,29,11,2019-08-25,6,8,2019,319
Audio Video ,59,1387,2019-08-25,6,8,2019,81833
Audio Video ,180,24,2019-08-25,6,8,2019,4320
Audio Video ,69,4030,2019-08-25,6,8,2019,278070
Audio Video ,21,84,2019-08-25,6,8,2019,1764
Audio Video ,12,324,2019-08-25,6,8,2019,3888
Audio Video ,23,350,2019-08-25,6,8,2019,8050
Audio Video ,11,15,2019-08-25,6,8,2019,165
Audio Video ,39,3181,2019-08-26,0,8,2019,124059
Audio Video ,44,21,2019-08-26,0,8,2019,924
Audio Video ,31,1,2019-08-26,0,8,2019,31
Audio Video ,28,62,2019-08-26,0,8,2019,1736
Audio Video ,49,313,2019-08-26,0,8,2019,15337
Audio Video ,23,7,2019-08-26,0,8,2019,161
Audio Video ,17,85,2019-08-27,1,8,2019,1445
Audio Video ,99,19,2019-08-27,1,8,2019,1881
Audio Video ,16,44,2019-08-27,1,8,2019,704
Audio Video ,32,62,2019-08-27,1,8,2019,1984
Audio Video ,35,316,2019-08-27,1,8,2019,11060
